"id","sentiment","review","review_español"
"4683_7","1","(Question) What do you call 100 film critics buried up to their necks in sand? (Answer) A good start. Well, I don't know Peter Mattei from Adam but if he is the budding auteur his filmography suggests, \Love in the Time of Money\"" is a \""good start\"". A classy shoot with whimsical music box style music, this flick looks at a chain of tenuous relationships as it moves from person A to person B to person C...etc...and back again ending with persons A & B in carousel fashion. The film gently probes the unhappy circumstances of nine people with finely rendered shadings beginning and ending with a street whore and her client. The downside of this film is the lack of a story which may have something to do with the many critical slams it received. I watched the behemoth \""Angels in America\"" last night and was bored at the end while this little concatenation of character studies kept me spell bound. Use caution. I may be the only person who really liked this flick. (B)""","(Pregunta) ¿Cómo llamas 100 críticos de cine enterrados en el cuello en la arena? (Responder) un buen comienzo. Bueno, no conozco a Peter Mattei de Adán, pero si él es el autónomo en ciernes, su cenceunidad sugiere, el amor en el tiempo de dinero ""es un"" buen comienzo "". Una sesión elegante con música de estilo caprichoso de música, Esta película analiza una cadena de relaciones tenues a medida que se mueve de una persona a a persona a la persona ... etc ... y de nuevo terminando con las personas A & B en la moda del carrusel. La película investiga suavemente las infelices circunstancias de nueve Personas con sombreados finamente prestados que comienzan y terminan con una puta de la calle y su cliente. El inconveniente de esta película es la falta de una historia que puede tener algo que ver con los muchos golpes críticos que recibió. Vi a los Behemoth \ ""Angels en América ""Anoche y se aburrió al final, mientras que esta pequeña concatenación de los estudios de personajes me mantuvo enlazado. Tenga cuidado. Puede que sea la única persona que realmente le gustó esta película. (B)"""
"7157_4","0","1st watched 5/26/2002 - 4 out of 10(Dir-Michael Almereyda): Weird story about a druid witch who tries to capture eternity by inheriting her granddaughter's body. At least I think that was the relationship. A kind of eerie quality is held throughout this film not unlike Stephen King's The Shining. The difference is that there was campiness in Nicholson's performance that isn't at all in this film. This is all taken very seriously until near the end when some lame one-liners and attempts at litening up the mood don't work at all. The performances are not the problem here, but the story is. Everything doesn't seem to come together very smoothly and the viewer is left with a lot of pieces of information and no real understanding of what happened in the film. There is a very small throwaway performance by Christopher Walken as the uncle of the granddaughter which, of course, gives him top-billing in an attempt to sell the film. Don't buy into this gimmick and avoid this film.<br /><br />","1er vio el 26/26/2002 - 4 de 10 (Dir-Michael Almreeyda): historia extraña sobre una druida bruja que trata de capturar la eternidad heredando el cuerpo de su nieta. Al menos creo que esa fue la relación. Una especie de calidad misteriosa se lleva a cabo a lo largo de esta película, no, a diferencia de Stephen King, el brillo. La diferencia es que hubo campesticidad en el desempeño de Nicholson que no está en absoluto en esta película. Todo esto se toma muy en serio hasta cerca del final, cuando algunos LAME One-Liners e intentos de liten el estado de ánimo no funcionan en absoluto. Las actuaciones no son el problema aquí, pero la historia es. Todo parece que se reúne muy bien y el espectador se queda con muchas piezas de información y no se entiende realmente lo que sucedió en la película. Hay una actuación muy pequeña de Christopher Walken como el tío de la nieta que, por supuesto, le da la facturación superior en un intento por vender la película. No compre en este truco y evite esta película. <br /> <br />"
"903_8","1","I can honestly say I never expected this movie to be good. I do not like family films. I am far from a fan of Shahid Kapoor. The director's last movie (MPKDH was complete stupidity. And the music was very boring and bland. But there was Amrita Rao, who has become my favorite after Main Hoon Na. There was also Seema Biswas, Alok Nath, and Anupam Kher who are very talented. So a few plus points.<br /><br />I finally saw the movie and I was very impressed. He brings us the young lovers of MPK with a pinch of the HAHK wedding, and we have a winner. The story outline is similar to HAHK, light hearted in the beginning to serious mode at the end. The director also made character that you could relate to. The thing I did not like about HAHK was that the characters were too eccentric. The casting adds to its perfection. Shahid Kapoor surprised me with a good performance. This is a major improvement, and most importantly he suits the role. The best is easily Amrita Rao. In fact, this is her best performance. Her screen presence is so electrifying, you are bound to love her performance. Sameer Soni, Amrutha Prakash, Anupam Kher, Alok Nath and Seema Biswas are terrifically cast. Not one actor feels out of place. <br /><br />The songs were quite disappointing but they will sound better after watching them. Mujhe Haq Hai and Do Anjaane Ajnabi are nice ballads. Milan Abhi Aada Adhura Hai is also nice in watching. The songs aren't colorful and dancey, and they are more like ballads. The exception is Hamari Shaadi Mein which is bound to remind you of HSSH and HAHK. So what was the flaw in the movie? The movie gets quite slow, and the ending is quite stretched. But the movie is still goes at a good pace, making it a perfect family film.","Honestamente puedo decir que nunca esperaba que esta película sea buena. No me gustan las películas familiares. Estoy lejos de ser fan de Shahid Kapoor. La última película del director (MPKDH fue una estupidez completa. Y la música era muy aburrida y sosa. Pero había Amrita Rao, quien se ha convertido en mi favorito después de la principal de Hoon Na. También había Pareja Biswas, Alok Nath y Anuupam Kher, que son muy talentoso. Así que unos pocos puntos más. <br /> <br /> Finalmente vi la película y me impresionó mucho. Él nos trae a los jóvenes amantes de MPK con una pizca de la boda de Hahk, y tenemos un ganador. los El esquema de la historia es similar a HAHK, de buen corazón al principio a modo serio al final. El director también hizo carácter con el que podía relacionarte. Lo que no me gustó. La cosa que no me gustó de Hahk era que los personajes eran demasiado excéntricos. El casting se suma a Su perfección. Shahid Kapoor me sorprendió con un buen desempeño. Esta es una mejora importante, y lo más importante es que él se adapta al papel. Lo mejor es fácilmente amrita rao. De hecho, este es su mejor rendimiento. Su presencia de pantalla es tan electrizante, tú están obligados a amar su actuación. Sameer Soni, Amrutha Prakash, un UPAM Kher, Alok Nath y Seema Biswas están terratásicos. Ningún actor se siente fuera de lugar. <br /> <br /> Las canciones eran bastante decepcionantes, pero sonarán mejor después de verlas. Mujhe Haq Hai y Do Anjaane Ajnabi son bonitas baladas. Milan Abhi Aada Adhura Hai también es agradable al ver. Las canciones no son coloridas y bailes, y son más como las baladas. La excepción es Hamari Shaadi Mein, que está obligado a recordarle a HSSH y HAHK. Entonces, ¿cuál fue la falla en la película? La película se vuelve bastante lenta, y el final está bastante estirado. Pero la película todavía va a un buen ritmo, por lo que es una película familiar perfecta."
"2792_10","1","I love this movie. It is great film that combines English and Indian cultures with feminist-type issues, such as girls wanting to play sports that were previously reserved for men. It shows the struggles of both an Indian person wanting to break outside her cultural barriers and women wanting to break outside the gender restrictions found in sports, especially in England at the time. I feel that the cultural struggles are more emphasized than the other issues.<br /><br />In contrast to the other comment, I do not think this movie is anything like Dirty Dancing or any other such chick flick. This move is loved by many types of people, men and women, young and old alike.","Amo esta película. Es una gran película que combina culturas inglesas e indias con problemas de tipo feminista, como las niñas que desean jugar deportes que anteriormente estaban reservadas para los hombres. Muestra las luchas tanto de una persona india que quiere romperse fuera de sus barreras culturales y mujeres que desean romper las restricciones de género que se encuentran en los deportes, especialmente en Inglaterra en ese momento. Siento que las luchas culturales se enfatizan más que las otras cuestiones. <br /> <br /> En contraste con el otro comentario, no creo que esta película sea algo como un baile sucio o cualquier otra película de chicas. Este movimiento es amado por muchos tipos de personas, hombres y mujeres, jóvenes y viejos por igual."
"4171_7","1","I ran across this several years ago while channel surfing on a Sunday afternoon. Though it was obviously a cheesy TV movie from the 70s, the direction and score were well done enough that it grabbed my attention, and indeed I was hooked and had to watch it through to the end. I recently got the opportunity to buy a foreign DVD of this film (oops, didn't notice a domestic one had finally come out a couple months prior), and was very pleased to be able to watch it again (and in its entirety).<br /><br />I don't wholly understand the phenomenon, but somehow the 70s seem to have a lock on horror movies that are actually scary. The decades prior to the 70s produced some beautifully shot films and the bulk of our enduring horror icons, but are they actually scary? No, not very. Likewise in the years since the 70s we've gotten horror movies that are cooler, more exciting, have much better production values and sophisticated special effects, are more fun, funnier, have effective \jump\"" moments, and some very creative uses of gore, but again... they aren't really scary! There's just something about the atmosphere of the 70s horror films. The grainy film quality. The spookily dark scenes unilluminated by vast high-tech lighting rigs. The \""edge of dreamland\"" muted quality of the dialogue and the weird and stridently EQ'd scores. The odd sense of unease and ugliness permeating everything. Everything that works to undermine most movies of the 70s, in the case of horror, works in its favor.<br /><br />Specifically, in this film, the quiet, intense shots of the devil dog staring people down is fairly unnerving. So much more effective than if they had gone the more obvious route of having the dog be growling, slavering, and overtly hostile (\""Cujo\""?). The filmmakers wisely save that for when the dog appears in its full-on supernatural form. The effects when that occurs, while unsophisticated by today's standards, literally gave me chills. The bizarre, vaguely-defined, \""I'm not quite sure what I'm looking at\"" look intuitively strikes me as more like how a real supernatural vision would be, rather than the hyper-real, crystal clear optical printer / digital compositor confections of latter-day horror films.<br /><br />While the human characters in this film are not as satisfyingly rendered as their nemesis or the world they inhabit, the actors all do a decent job. The pairing of the brother and sister from the \""Witch Mountain\"" movies as, yes, brother and sister, is a rather cheesy bit of stunt casting, but they do fine. Yvette Mimieux always manages to be entertaining if unspectacular. Richard Crenna earns more and more empathy from the audience as the film progresses. His self-doubt as he wonders whether his family's alienness is truly due to a supernatural plot or whether he's merely succumbing to paranoid schizophrenia is pretty well handled, though his thought that getting a routine physical may provide an explanation for what he's been experiencing is absurd in its naïveté.<br /><br />The movie's The-End-Question-Mark type ending is one of the only ones I've seen that doesn't feel like a cheap gimmick, and actually made me think about the choices these characters would be faced with next and what they'd be likely to do and how they'd feel about it.<br /><br />Detractors of this film may say it's merely a feature-length vehicle for some neato glowing retina shots, but hey, you could say the same thing about \""Blade Runner\"". :-)""","Corrí a través de esto hace varios años, mientras que el canal navegaba un domingo por la tarde. Aunque obviamente era una película de televisión cursi de los años 70, la dirección y la puntuación estaban bien lo suficientemente hechos como para que tuviera la atención, y de hecho estuvo enganchado y tuve que vigilarlo hasta el final. Recientemente obtuve la oportunidad de comprar un DVD extranjero de esta película (Ups, no noté que una persona doméstica finalmente había salido un par de meses antes), y estaba muy contento de poder verlo nuevamente (y en su totalidad) . <br /> <br /> No entiendo totalmente el fenómeno, pero de alguna manera los años 70 parecen tener un bloqueo en películas de terror que realmente están aterrando. Las décadas anteriores a los años 70 produjeron algunas películas bellamente dispuestas y la mayor parte de nuestros iconos de horror duradero, pero ¿en realidad son aterradores? No, no muy. Del mismo modo, en los años 70, hemos obtenido películas de terror que son más frescas, más emocionantes, tienen valores de producción mucho mejores y efectos especiales sofisticados, son más divertidos, más divertidos, tienen momentos efectivos de \ salto, y algunos usos muy creativos de Gore, pero de nuevo ... ¡no son realmente aterradores! Solo hay algo sobre la atmósfera de las películas de horror de los años 70. La calidad de la película granulada. Las escenas hinchables oscuras no habladas por vastas plataformas de iluminación de alta tecnología. El ""borde de Dreamland \ ""Calidad silenciada del diálogo y las puntuaciones extrañas y estridamente eq'd. El extraño sentido de la inquietud y la fealdad que impregnan todo. Todo lo que trabaja para socavar la mayoría de las películas de los años 70, en el caso del horror, funciona a su favor. < BR /> <br /> Específicamente, en esta película, los tiros tranquilos e intensos del perro del diablo que miran a la gente se encuentran bastante desconcertados. Mucho más efectivo que si hubieran ido la ruta más obvia de que el perro se gruñe, esclaviando , y abiertamente hostil (\ ""CUJO \""?). El cineasta S útil sabiamente para cuando el perro aparece en su forma sobrenatural completa. Los efectos cuando ocurre, mientras que los estándares de hoy, sin ser sofisticados, literalmente me dieron escalofríos. Los extraños, vagamente definidos, ""No estoy muy seguro de lo que estoy mirando"", se vea intuitivamente, me parece de manera intuitiva cómo sería una visión más sobrenatural, en lugar de la impresora óptica hiperreal y cristalina. Cultivos de compositor digital de las últimas películas de terror día. <br /> <br /> Mientras que los personajes humanos en esta película no están tan satisfactoriamente prestados como su némesis o el mundo que habitan, los actores hacen todo un trabajo decente. El emparejamiento del hermano y la hermana de las películas de \ ""Witch Mountain \"", como, sí, hermano y hermana, es un poco más bien cursi, pero lo hacen bien. Yvette Mimieux siempre logra ser entretenido si no es espectacular. Richard Crenna gana más y más empatía de la audiencia a medida que avanza la película. Su propia duda, ya que se pregunta si la aliendación de su familia se debe realmente a una parcela sobrenatural o si simplemente sucumbe a la esquizofrenia paranoica es bastante bien manejada, aunque su pensamiento de que obtener una rutina física puede proporcionar una explicación de lo que ha estado experimentando es absurdo. En su naïveté. <br /> <br /> La finalización del tipo de pregunta del final de la película es uno de los únicos que he visto que no se siente como un truco barato, y en realidad me hizo pensar en el Las elecciones se enfrentarían a estos personajes a continuación y lo que probablemente tendrían que hacer y cómo se sentirían al respecto. <br /> <br /> Los detractores de esta película pueden decir que es simplemente un vehículo de longitud de característica para algunos poco Brillantes disparos de retina, pero oye, podrías decir lo mismo de \ ""Blade Runner \"". :-) """
"7701_10","1","This has always been one of my favourite movies, and will always be. Over the last few years I have become a 50's / 60's Sci-fi freak, trying to collect all of the better ones that were made back then. I love lots of things about them from how corny they could be to how technically correct some of them were. The great colours and the sets get me going too. It's a pity when they re-make some of these good old movies; they nearly always stuff it up, - just look at the recent re-do of The day the Earth stood still, it's utter garbage!! Forbidden Planet is one of the benchmark space films of all time, and now they're trying to re-make it too, and I shudder to think what the new one will be like! To my mind, some things, such as fantastic classic movies, should just be left alone to be what they are, classic examples of great attempts at telling simple stories, and giving people a thrill in the process. Once they add all the techno-crap that we have available now, the film just seems to be more dog-meat from the Hollywood sausage factory, - nothing special at all. By the way, I notice that the astronauts' uniforms in Forbidden Planet were also used for \Queen of Outer Space\""! That just tells you that the budgets were a bit lower back then, doesn't it? Hey, less money and better films, hmmm....<br /><br />Great performances in this movie from Leslie Nielsen, in a serious role, and Anne Francis, Walter Pidgeon (who has always been one of my favourite actors), Earl Holiman, and of course Robby the Robot!<br /><br />The special effects are fantastic, and the storyline is not too far-fetched. This is a great sci-fi experience!""","Esto siempre ha sido una de mis películas favoritas, y siempre será. En los últimos años me he convertido en un fanático de la ciencia fina de los 50/60, tratando de recolectar a todos los mejores que fueron recuperados entonces. Me encantan las cosas sobre el hecho de que CORNY podrían ser sobre lo técnicamente correctas. Los grandes colores y los sets me llevan yendo también. Es una pena cuando vuelven a hacer algunas de estas buenas películas antiguas; Casi siempre lo relajan, - solo mira el reciente re-hecho del día en que la Tierra se quedó quieta, ¡es una basura absoluta! El planeta prohibido es una de las películas espaciales de referencia de todos los tiempos, y ahora están tratando de volver a hacerlo, ¡y me estremezco para pensar en qué será el nuevo! En mi opinión, algunas cosas, como fantásticas películas clásicas, deberían quedarse solas para ser lo que son, ejemplos clásicos de grandes intentos de contar historias simples, y dar a las personas una emoción en el proceso. Una vez que agreguen toda la crespón técnico que tenemos disponibles ahora, la película parece ser más carne de perro de la fábrica de salchichas de Hollywood, - nada especial en absoluto. Por cierto, me doy cuenta de que los uniformes de los astronautas en el planeta prohibido también fueron utilizados para \ reina del espacio exterior \ ""! Eso solo te dice que los presupuestos eran un poco más bajos en la espalda, ¿no? Oye, menos dinero y mejores películas, hmmm .... <br /> <br /> Grandes actuaciones en esta película de Leslie Nielsen, en un rol serio, y Anne Francis, Walter Pidgeon (que siempre ha sido uno de mis actores favoritos), Earl Holiman , y, por supuesto, Robby, el robot! <br /> <br /> Los efectos especiales son fantásticos, y la historia no está demasiado ferex. ¡Esta es una gran experiencia de ciencia ficción! """
"11319_8","1","Watching \Ossessione\"" today -- more than 6 decades later -- is still a powerful experience, especially for those interested in movie history and more specifically on how Italian filmmakers changed movies forever (roughly from \""Ossessione\"" and De Sica's \""I Bambini Ci Guardano\"", both 1943, up to 20 years later with Fellini, Antonioni, Pasolini). Visconti makes an amazing directing début, taking the (uncredited) plot of \""The Postman Always Rings Twice\"" as a guide to the development of his own themes.<br /><br />It strikes us even today how ahead of its time \""Ossessione\"" was. Shot in Fascist Italy during World War II (think about it!!), it depicted scenes and themes that caused the film to be immediately banned from theaters -- and the fact that it used the plot of a famous American novel and payed no copyright didn't help. <br /><br />\""Ossessione\"" alarmingly reveals poverty-ridden war-time Italy (far from the idealized Italy depicted in Fascist \""Telefoni Bianchi\"" movies); but it's also extremely daring in its sexual frankness, with shirtless hunk Gino (Massimo Girotti, who definitely precedes Brando's Kowalski in \""A Streetcar Named Desire\"") taking Giovanna (Clara Calamai), a married woman, to bed just 5 minutes after they first meet. We watch Calamai's unglamorous, matter-of-fact undressing and the subtle but undeniable homosexual hints between Gino and Lo Spagnolo (Elio Marcuzzo - a very appealing actor, his face not unlike Pierre Clémenti's, who was shot by the Nazis in 1945, at 28 years old!)...In a few words: sex, lust, greed and poverty, as relentlessly as it had rarely, if ever, been shown before in Italian cinema.<br /><br />All the copies of \""Ossessione\"" were destroyed soon after its opening -- it was called scandalous and immoral. Visconti managed to save a print, and when the film was re-released after the war, most critics called it the front-runner of the Neo-Realist movement, preceding Rossellini's \""Roma CIttà Aperta\"" and De Sica's \""Sciuscià\"". Some other critics, perhaps more appropriately, saw \""Ossessione\"" as the Italian counterpart to the \""poetic realism\"" of French cinema (remember Visconti had been Renoir's assistant), especially Marcel Carné's \""Quai des Brumes\"" and \""Le Jour se Lève\"", and Julien Duvivier's \""Pépé le Moko\"". <br /><br />While \""Ossessione\"" may be Neo-Realistic in its visual language (the depiction of war-time paesan life in Italy with its popular fairs, poverty, child labor, prostitution, bums, swindlers etc), the characters and the themes were already decidedly Viscontian. He was always more interested in tragic, passionate, obsessive, greedy characters, in social/political/sexual apartheid, in the decadence of the elites than in realistic, \""everyday- life\"" characters and themes, favored by DeSica and Rossellini. In \""Ossessione\"" we already find elements of drama and tragedy later developed in many of his films, especially \""Senso\"" (Visconti's definitive departure from Neo-Realist aesthetics) and \""Rocco e Suoi Fratelli\""...Even in his most \""Neo-Realist\"" film, \""La Terra Trema\"", he makes his fishermen rise from day-to-day characters to mythological figures.<br /><br />\""Ossessione\"" is a good opportunity to confirm the theory about great artists whose body of work approaches, analyzes and develops specific themes and concerns over and over again, from their first to their last opus, no matter if the scenery, background or time-setting may change -- Visconti may play with the frame but the themes and essence of his art are, well, obsessively recurrent. \""Ossessione\"" is not to be missed: you'll surely be fascinated by this ground-breaking, powerful film.""","Viendo \ ossessessee \ ""HOY, más de 6 décadas más tarde, sigue siendo una experiencia poderosa, especialmente para aquellos interesados ​​en la historia de la película y más específicamente en cómo los cineastas italianos cambiaron las películas para siempre (aproximadamente de \"" Ossessesse \ ""y de SICA"" ""I Bambini Ci Guardano \"", ambos 1943, hasta 20 años después con Fellini, Antonioni, Pasolini). Visconti hace una increíble declaración de dirección, tomando la parcela (no acreditada) de \ ""El cartero siempre suena dos veces"". Para el desarrollo de sus propios temas. <br /> <br /> Nos hueña incluso hoy en día la forma en que estaba por delante de su tiempo \ ""Ossessesse \"" fue. Disparo en Fascista Italia durante la Segunda Guerra Mundial (¡Piénsalo!), Las escenas y temas representados que causaron que la película se prohibiera de inmediato de los teatros, y el hecho de que usaba la trama de una famosa novela estadounidense y pagó que ningún copyright no ayudaba. <br /> <br /> \ ""Ossessesse \ ""Revela alarmantemente revele la guerra de la guerra a la pobreza Italia (lejos de la Italia idealizada que se muestra en las películas fascistas"" Telefoni Bianchi ""); pero También está extremadamente atrevido en su franqueza sexual, con un hunk Gino sin camisa (Massimo Girotti, quien definitivamente precede a Kowalski de Brando en \ ""Un tranvía llamado Deseo"") Tomando a Giovanna (Clara Calamai), una mujer casada, a la cama a solo 5 minutos después de que primer encuentro. Miramos la desvestirse poco aflorante de Calamai y los sutiles pero innegables homosexuales entre Gino y Lo Spagnolo (Elio Marcuzzo, un actor muy atractivo, su cara, no, a diferencia de Pierre Clémenti, que fue disparada por los nazis en 1945, a las 28. ¡Años!) ... En pocas palabras: sexo, lujuria, codicia y pobreza, tan implacablemente, como rara vez, si alguna vez, se ha mostrado antes en el cine italiano. <br /> <br /> Todas las copias de \ ""Ossessesse \"" fueron destruidos poco después de su apertura, fue llamado escandaloso e inmoral. Visconti logró guardar una impresión, y cuando la película se reinició después de la guerra, la mayoría de los críticos lo llamaron el corredor delantero del movimiento neo-realista, que precede a Rossellini's \ ""Roma Città Aperta \"" y de SICA ""Sciuscià \ "". Algunos otros críticos, quizás más apropiadamente, sirvieron \ ""Ossessessee \"" como la contraparte italiana para el ""realismo poético"" del cine francés (recuerde que Visconti había sido asistente de Renoir), especialmente Marcel Carné's ""Quai des Brumes \"" y \ ""Le jour se lève \"", y Julien Duvivier's \ ""Pépé le Moko \"". <br /> <br /> Mientras que \ ""Ossessesse \"" puede ser neo-realista en su idioma visual (la representación de la vida útil de la guerra de la guerra en Italia con sus ferias populares, la pobreza, el trabajo infantil, la prostitución, los vagabundos, los estafadores, etc. ), los personajes y los temas ya eran decididamente viscontian. Siempre estuvo más interesado en personajes trágicos, apasionados, obsesivos, codiciosos, en el apartheid social / político / sexual, en la decadencia de las élites que en los personajes y temas realistas, ""todos los días, favorecidos por Desica y Rossellini. En \ ""Ossessesse"", ya encontramos elementos de drama y tragedia más tarde desarrollados en muchas de sus películas, especialmente ""SENSO"" (salida definitiva de Visconti desde la estética neo-realista) y ""Rocco e Suoi Fratelli \"" ... Incluso en su película más \ ""Neo-Realista"", ""La Terra Trane"", hace que sus pescadores se levanten de personajes diarios a figuras mitológicas. <br /> <br /> \ ""Ossessesse \"" es una buena oportunidad para confirmar la teoría sobre los grandes artistas cuyo cuerpo de trabajo se enfoca, analiza y desarrolla temas y preocupaciones específicos una y otra vez, desde su primera a su última opus, sin importar si el paisaje, el fondo o el tiempo de tiempo pueden cambiar - Visconti puede jugar con el marco, pero los temas y la esencia de su arte son, bueno, obsesivamente recurrente. \ ""Ossessessee \"" no debe perderse: seguramente estarás fascinado por esta película, una película poderosa ""."
"4678_2","0","This movie had some andrenaline kickers, but it's an old story that simply could never happen. Navy protocols could never break down that much that a crew much less an XO could ever go that far against the Captain. I'll take Dr. Strangelove any day if I wish to see this plot. Sidenote--the US Navy did not support this film.","Esta película tenía algunos pateadores andrenalinos, pero es una vieja historia que simplemente nunca podría suceder. Los protocolos de la Marina nunca podrían romper tanto que una tripulación, mucho menos, una XO podría ir tan lejos contra el Capitán. Tomaré el Dr. Strangelove cualquier día si deseo ver esta trama. Sidenote: la Marina de los EE. UU. No apoyó esta película."
"9483_1","0","I was fooled to rent this movie by its impressive cover. Alas. It is easily one of the worst movies ever made. Judging by the acting of the film characters, it's more a comedy than a horror film. No surprise why no one else has written comments on the imdb. Avoid it.","Me engañaron a alquilar esta película por su impresionante portada. Pobre de mí. Es fácilmente una de las peores películas jamás hechas. A juzgar por la actuación de los personajes de la película, es más una comedia que una película de terror. No es de extrañar por qué nadie más ha escrito comentarios sobre el IMDb. Evitarlo"
"3499_8","1","Raising Victor Vargas is a movie you definitely need to see. It was very heart felt and had a lot of humor that gets you sucked right in. It is so much like real life with what teenagers have to go through. Victor, a cocky teen, but with a good heart at the end deals with love in all the right places dealing with girls and family. At the end Victor learns the true meaning of love after dealing with a old fashioned grandmother and a girl who he wants to use is actually using him too.I recommend people to watch this movie because it will be like you are watching a real family. Thats how much feeling this movie has. One heart felt moment was when Victor's grandmother throws victor out over something simple. Victor was really heart and couldn't believe that she would do something like that. It made me feel real sorry for him like it was real. Overall I give this movie a B+","Raising Victor Vargas es una película que definitivamente necesitas ver. Estaba muy sentado y tenía mucho humor que te engaña. Es como la vida real con lo que los adolescentes tienen que pasar. Víctor, un adolescente arrogante, pero con un buen corazón al final se trata de amor en todos los lugares correctos que tratan con niñas y familiares. Al final, Victor se entera del verdadero significado del amor después de tratar con una abuela antigua y una niña que quiere usar, en realidad, lo recomiendo a la gente para ver esta película porque será como si estuvieras viendo una familia real. Eso es lo que tiene la sensación de esta película. Un momento de sentido del corazón fue cuando la abuela de Victor arroja a Victor sobre algo simple. Víctor era realmente corazón y no podía creer que ella hiciera algo así. Me hizo sentir de verdad lo siento por él como si fuera real. En general, le doy a esta película un B +"
